utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1633946434446,3943416667000000,18,,-1314038235779192450,-0.4488706588745117,44.504471588879824,20.311618762933264,9.963503020602314,145,5,0.0,89103,122452352837487,53,19.4,540.9573364257812,0.8104999661445618,16,0.0,0.0,1.57542003E9,,,,0,,6,0.38,13.399999999999999,,,,,,
1633946434446,3943416667000000,18,,-1314038235779192450,-0.4488706588745117,44.504471588879824,20.311618762933264,9.963503020602314,145,8,0.0,89103,122452372486135,5,40.1,-285.9172668457031,0.04340000078082085,16,0.0,0.0,1.57542003E9,,,,0,,6,0.38,34.1,,,,,,
1633946434446,3943416667000000,18,,-1314038235779192450,-0.4488706588745117,44.504471588879824,20.311618762933264,9.963503020602314,145,13,0.0,89103,122452367159097,6,38.5,-226.02752685546875,0.048600003123283386,16,0.0,0.0,1.57542003E9,,,,0,,6,0.38,32.5,,,,,,
1633946434446,3943416667000000,18,,-1314038235779192450,-0.4488706588745117,44.504471588879824,20.311618762933264,9.963503020602314,145,15,0.0,89103,122452367149362,27,24.1,308.70391845703125,0.5550000071525574,16,0.0,0.0,1.57542003E9,,,,0,,6,0.38,18.1,,,,,,
1633946434446,3943416667000000,18,,-1314038235779192450,-0.4488706588745117,44.504471588879824,20.311618762933264,9.963503020602314,145,26,0.0,89103,122452354207026,53,19.2,-538.3408203125,0.8134999871253967,16,0.0,0.0,1.57542003E9,,,,0,,6,0.38,13.2,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,10,0.0,49359,46835366572472,24,25.8,-475.3680419921875,0.5907999873161316,16,0.0,0.0,1.59806246E9,,,,0,,3,1.34,22.8,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,1,0.0,81935,122453376276895,40,21.2,432.8800354003906,0.8704999685287476,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,17.7,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,3,0.0,81935,122453378214288,13,31.6,105.80320739746094,0.05220000445842743,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,28.1,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,4,0.0,81935,122453375767264,8,36.9,-406.74041748046875,0.04370000213384628,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,33.4,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,6,0.0,81935,122453364936827,7,37.3,-640.7314453125,0.026600001379847527,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,33.8,,,,,,
